elevation,habitat_class,country,percent_loss,longitude_round,area,averagecountry,secountry,averageclass,seclass
2751,core,india,0.115740741,88,115.740741,1.546944592,0.245287153,0.496506815,0.077524625
1850,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
4030,low,china,0,94,0,1.219872364,0.163011557,1.203701833,0.119280872
1673,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
3141,core,china_spp,0,102,0,1.15281729,0.141674902,0.496506815,0.077524625
3077,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
2937,moderate,china,0,100,0,1.219872364,0.163011557,1.17929022,0.115853324
3690,core,nepal,0.306278714,87,306.278714,0.74153777,0.1118324,0.496506815,0.077524625
2897,low,china_spp,0.779220779,103,779.220779,1.15281729,0.141674902,1.203701833,0.119280872
2375,low,china_spp,0.815217391,104,815.217391,1.15281729,0.141674902,1.203701833,0.119280872
3420,core,india,0,94,0,1.546944592,0.245287153,0.496506815,0.077524625
3371,moderate,nepal,1.324503311,82,1324.503311,0.74153777,0.1118324,1.17929022,0.115853324
3173,low,bhutan,0,90,0,0.335161377,0.049644415,1.203701833,0.119280872
3289,low,india,0,96,0,1.546944592,0.245287153,1.203701833,0.119280872
851,low,india,0.541516245,95,541.516245,1.546944592,0.245287153,1.203701833,0.119280872
2078,moderate,bhutan,0.1998002,90,199.8002,0.335161377,0.049644415,1.17929022,0.115853324
1382,moderate,burma,0,97,0,1.184982172,0.215918281,1.17929022,0.115853324
1665,moderate,burma,0,97,0,1.184982172,0.215918281,1.17929022,0.115853324
2887,moderate,china,0,95,0,1.219872364,0.163011557,1.17929022,0.115853324
2131,moderate,china_spp,0.322580645,103,322.580645,1.15281729,0.141674902,1.17929022,0.115853324
4339,low,bhutan,0.921658986,90,921.658986,0.335161377,0.049644415,1.203701833,0.119280872
2242,moderate,bhutan,0,91,0,0.335161377,0.049644415,1.17929022,0.115853324
2538,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
2264,moderate,china_spp,0.844277674,102,844.277674,1.15281729,0.141674902,1.17929022,0.115853324
2044,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
4054,low,china,0,93,0,1.219872364,0.163011557,1.203701833,0.119280872
3990,low,bhutan,0.104166667,90,104.166667,0.335161377,0.049644415,1.203701833,0.119280872
3220,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
2100,moderate,india,0.785083415,88,785.083415,1.546944592,0.245287153,1.17929022,0.115853324
3682,low,china_spp,0.186915888,102,186.915888,1.15281729,0.141674902,1.203701833,0.119280872
3088,moderate,china_spp,0,103,0,1.15281729,0.141674902,1.17929022,0.115853324
2335,core,nepal,0,86,0,0.74153777,0.1118324,0.496506815,0.077524625
3789,moderate,china,0,92,0,1.219872364,0.163011557,1.17929022,0.115853324
4026,low,china,4.137115839,100,4137.115839,1.219872364,0.163011557,1.203701833,0.119280872
3179,low,china,36.63967611,101,36639.67611,1.219872364,0.163011557,1.203701833,0.119280872
3686,low,china,0,95,0,1.219872364,0.163011557,1.203701833,0.119280872
2543,core,china_spp,0.090497738,103,90.497738,1.15281729,0.141674902,0.496506815,0.077524625
3270,low,china,0,101,0,1.219872364,0.163011557,1.203701833,0.119280872
