loss_mean,elevation,longtitude,country,iucn,over_20_pc_canopy_cover,habitat_class
,3239,99,Burma,,0,Moderate
,4466,96,China_fulgens,,0,Low
0.019837692,989,98,Burma,IUCN IV,1,Low
0.075085324,2104,99,China_fulgens,,1,Low
,3766,96,China_fulgens,,0,Low
,2042,83,Nepal,,0,Low
0,3923,99,China_fulgens,,1,Low
0,2397,102,china_styani,,1,Moderate
,4593,99,China_fulgens,,0,Low
,1511,85,Nepal,,0,Low
,2557,103,china_styani,,0,Low
0,1568,97,Burma,IUCN IV,1,Core
0,1559,98,Burma,,1,Moderate
0,2501,93,India,,1,Moderate
,4051,100,China_fulgens,,0,Low
,3684,97,China_fulgens,,0,Low
,3979,94,China_fulgens,,0,Moderate
0,2339,99,Burma,,1,Core
0.006311993,1863,104,china_styani,,1,Low
0,3420,100,China_fulgens,,1,Moderate
,3830,95,China_fulgens,,0,Moderate
0.002998501,1835,86,Nepal,,1,Moderate
,2585,97,India,,0,Low
0,2946,99,China_fulgens,,1,Moderate
0,3659,99,China_fulgens,,1,Moderate
0.002717391,3825,99,China_fulgens,,1,Moderate
0,3510,100,China_fulgens,,1,Low
,2315,99,China_fulgens,,0,Moderate
,3079,98,Burma,IUCN IV,0,Moderate
0.010752688,3181,90,Bhutan,IUCN II,1,Moderate
0.005102041,3143,87,Nepal,IUCN II,1,Core
0,1986,96,India,IUCN IV,1,Low
0,2607,102,china_styani,,1,Moderate
,3743,95,China_fulgens,,0,Low
0,3124,86,Nepal,IUCN II,1,Core
0,3438,96,India,,1,Low
0,2529,96,India,,1,Low
0,3715,82,Nepal,,1,Low
0,2794,85,Nepal,,1,Moderate
,2379,99,China_fulgens,,0,Low
,3735,94,India,,0,Moderate
0.001077586,2983,102,china_styani,,1,Moderate
0,3231,99,China_fulgens,,1,Low
0,3692,99,China_fulgens,,1,Low
0,1997,98,Burma,,1,Moderate
0,3684,97,China_fulgens,,1,Low
,5741,95,China_fulgens,,0,Low
0,2516,103,china_styani,,1,Moderate
